location,lat,lon,arch,loss,model,q_lo,q_hi,r,delta,avg_picp,std_picp,avg_mpiw,std_mpiw,avg_wis,std_wis,calibrated,n_valid_seeds,n_seeds,n_train_seqs,n_test_pts,train_period,test_period,seq_len
Arabian_Sea,15.0,65.0,DeepAR,NLL-Gaussian,DeepAR-NLL-Gaussian,0.1,0.9,,,100.0,0.0,0.0125878910604846,0.0007501817822465,0.0125878910604846,0.0007501817822465,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,SimpleRNN,Quantile,SimpleRNN-Quantile,0.1,0.9,,,97.44292237442924,1.794235863414474,0.015039725,0.0017979329,0.0155904244052492,0.0021667654082213,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,Mamba,Tube,Mamba-Tube,,,0.5,0.01,92.51141552511416,2.8236757687196885,0.16422626,0.005202066,0.2141058320498357,0.0217732285270592,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,Mamba,Quantile,Mamba-Quantile,0.1,0.9,,,68.85844748858447,8.520112357764821,0.07213196,0.027181456,0.1932807877759818,0.0233342670287912,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,Mamba,Tube,Mamba-Tube,,,0.5,0.01,93.33333333333331,3.0095446672665016,0.16085401,0.016317444,0.1851407457600445,0.0213077426954363,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,Mamba,Quantile,Mamba-Quantile,0.1,0.9,,,67.67123287671232,1.9025266352511088,0.072667584,0.010096983,0.5085269440724425,0.0707000755129541,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,Mamba,Tube,Mamba-Tube,,,0.5,0.01,79.81735159817353,6.619587314856668,0.1350686,0.03189578,0.3525355662772101,0.0715810803012725,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Arabian_Sea,15.0,65.0,SimpleRNN,Quantile,SimpleRNN-Quantile,0.1,0.9,,,98.53881278538812,1.0169432626173551,0.010871352,0.000689687,0.0112944893688643,0.0007514577737423,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Arabian_Sea,15.0,65.0,SimpleRNN,Tube,SimpleRNN-Tube,,,0.5,0.01,99.54337899543378,0.5775849607613487,0.023251759,0.0011832309,0.0233204666506482,0.0012498995047363,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,SimpleRNN,Quantile,SimpleRNN-Quantile,0.1,0.9,,,97.35159817351598,1.2046489459609977,0.010146532,0.0008602534,0.0109662499949744,0.0010629514890979,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,SimpleRNN,Tube,SimpleRNN-Tube,,,0.5,0.01,98.7214611872146,0.671093080214568,0.020544913,0.0025714233,0.0207678680628946,0.0027262967026636,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,SimpleRNN,Quantile,SimpleRNN-Quantile,0.1,0.9,,,95.79908675799086,2.730578335657732,0.012618671,0.0012092572,0.0144049845370731,0.0014461198537732,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,SimpleRNN,Tube,SimpleRNN-Tube,,,0.5,0.01,98.2648401826484,0.532507022360302,0.025063023,0.0030509909,0.0257584755492809,0.0031845792770118,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,SimpleRNN,Tube,SimpleRNN-Tube,,,0.5,0.01,99.63470319634705,0.7305936073059343,0.023346964,0.0032071418,0.0234065728213825,0.0031927757073095,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,Mamba,Tube,Mamba-Tube,,,0.5,0.01,97.35159817351598,1.8355937207526771,0.15164006,0.028148385,0.1624939778474334,0.0184376281874132,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,SimpleRNN,Quantile,SimpleRNN-Quantile,0.1,0.9,,,98.53881278538812,1.8581725981165156,0.018591788,0.0032025164,0.0189780331725127,0.0033312549273655,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,SimpleRNN,Tube,SimpleRNN-Tube,,,0.5,0.01,99.72602739726028,0.3652968036529678,0.034235083,0.0060541164,0.0342689031084106,0.0060678579100168,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Arabian_Sea,15.0,65.0,Transformer,Quantile,Transformer-Quantile,0.1,0.9,,,80.18264840182648,6.34423906226791,0.068281375,0.006814773,0.1361467929490897,0.0241212106252031,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Arabian_Sea,15.0,65.0,Transformer,Tube,Transformer-Tube,,,0.5,0.01,92.78538812785388,2.423104869666043,0.08843899,0.003296133,0.1044217518277364,0.0052382717556375,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,Transformer,Quantile,Transformer-Quantile,0.1,0.9,,,77.80821917808218,6.77647724532937,0.0944456,0.0072181304,0.2405246141940236,0.0664048521511286,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,Transformer,Tube,Transformer-Tube,,,0.5,0.01,95.70776255707764,3.815996788269622,0.15113907,0.037877027,0.1643378038557425,0.0319746445457751,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,Transformer,Quantile,Transformer-Quantile,0.1,0.9,,,55.06849315068494,14.269972591506564,0.07581908,0.015171165,0.4890744399860443,0.0951272704358686,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,Transformer,Tube,Transformer-Tube,,,0.5,0.01,86.48401826484019,2.7790180921831853,0.1407667,0.016176637,0.2572158219042978,0.0255169242414123,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,Transformer,Quantile,Transformer-Quantile,0.1,0.9,,,71.32420091324201,13.003360469474533,0.07907571,0.019670336,0.2236612872793522,0.0537269144053185,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,Transformer,Tube,Transformer-Tube,,,0.5,0.01,91.41552511415524,7.336693248728744,0.13438755,0.034487586,0.1533195675571725,0.0348298763677994,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,Transformer,Quantile,Transformer-Quantile,0.1,0.9,,,44.74885844748857,9.477498676982362,0.0788214,0.015859796,0.8871612850061291,0.1142728850191765,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,Mamba,Quantile,Mamba-Quantile,0.1,0.9,,,76.07305936073058,9.382867243135214,0.09982033,0.022283299,0.2877114167727292,0.0447117736015555,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,Mamba,Quantile,Mamba-Quantile,0.1,0.9,,,78.44748858447488,7.438298701113147,0.066760115,0.02586871,0.1893438849605607,0.0654446611728123,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,DeepAR,NLL-Gaussian,DeepAR-NLL-Gaussian,0.1,0.9,,,98.7214611872146,0.9750756394549134,0.0113660328518304,0.0010423392651871,0.0116560929995126,0.0012397200094368,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,GRU,Quantile,GRU-Quantile,0.1,0.9,,,97.80821917808218,1.3359578847787938,0.015459579,0.00072055793,0.015936859799139,0.0007635791740784,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,DeepAR,NLL-Gaussian,DeepAR-NLL-Gaussian,0.1,0.9,,,93.78995433789954,3.387623194701627,0.0171305450827054,0.0017132221015994,0.0250997397771795,0.0089642422581018,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,DeepAR,NLL-Gaussian,DeepAR-NLL-Gaussian,0.1,0.9,,,97.26027397260272,2.930923568197484,0.0167401607081931,0.0018135668399078,0.0178378125973446,0.0028980157917113,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,DeepAR,NLL-Gaussian,DeepAR-NLL-Gaussian,0.1,0.9,,,93.6986301369863,6.8547923305188,0.0296754368215248,0.003081998251163,0.031861658201339,0.0011999920545302,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Arabian_Sea,15.0,65.0,GRU,Quantile,GRU-Quantile,0.1,0.9,,,97.8082191780822,0.532507022360303,0.010780218,0.0007691194,0.0111614768237828,0.0008446918950581,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Arabian_Sea,15.0,65.0,GRU,Tube,GRU-Tube,,,0.5,0.01,99.26940639269408,0.940240195523928,0.02248008,0.0018551521,0.022745232474069,0.0018249884787557,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,GRU,Quantile,GRU-Quantile,0.1,0.9,,,94.06392694063928,1.7085193546912925,0.010770032,0.000415709,0.0134248836941642,0.0012624866719565,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,GRU,Tube,GRU-Tube,,,0.5,0.01,98.63013698630138,1.0004064977263296,0.018841187,0.0021887175,0.0193607211368813,0.0022262969683456,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,GRU,Quantile,GRU-Quantile,0.1,0.9,,,91.23287671232876,2.605542030627783,0.013102087,0.0005504959,0.0174919421593756,0.001909697917408,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,GRU,Tube,GRU-Tube,,,0.5,0.01,96.34703196347031,0.9132420091324206,0.023764472,0.0012600911,0.0264479780995001,0.001908099972933,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,GRU,Quantile,GRU-Quantile,0.1,0.9,,,97.351598173516,1.396991647559669,0.013002986,0.0019256861,0.0135787768851132,0.0023310302549455,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,GRU,Tube,GRU-Tube,,,0.5,0.01,99.26940639269404,0.8947907736194236,0.02449421,0.003983919,0.0246086714264192,0.0038761794736467,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,GRU,Tube,GRU-Tube,,,0.5,0.01,99.90867579908677,0.1826484018264864,0.030621633,0.003906602,0.0306343860845859,0.0039031607979708,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Arabian_Sea,15.0,65.0,Mamba,Tube,Mamba-Tube,,,0.5,0.01,91.7808219178082,1.7566560786914456,0.088939,0.009032883,0.1078678595098458,0.0022812988327975,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Arabian_Sea,15.0,65.0,LSTM,Quantile,LSTM-Quantile,0.1,0.9,,,94.52054794520548,0.7640730835927595,0.012078846,0.00042173805,0.0150950739374715,0.0012898769034961,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Arabian_Sea,15.0,65.0,LSTM,Tube,LSTM-Tube,,,0.5,0.01,97.99086757990868,1.884910268543406,0.023426225,0.0020645899,0.0243318815464026,0.0025161464286448,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,LSTM,Quantile,LSTM-Quantile,0.1,0.9,,,90.31963470319631,2.8936948890876457,0.0105028665,0.0009157608,0.0151668959368649,0.0023405332487471,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,LSTM,Tube,LSTM-Tube,,,0.5,0.01,94.61187214611871,0.6710930802145673,0.021624742,0.0012109019,0.0268236076144322,0.0020980881576796,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,LSTM,Quantile,LSTM-Quantile,0.1,0.9,,,87.21461187214611,3.820365417963814,0.01407635,0.00056495564,0.0222089458993308,0.0045330847085943,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,LSTM,Tube,LSTM-Tube,,,0.5,0.01,96.16438356164385,0.683407741876523,0.028382128,0.0034860962,0.032172102912893,0.0048334565340031,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,LSTM,Quantile,LSTM-Quantile,0.1,0.9,,,93.88127853881278,1.2454960453868316,0.014941478,0.0018174141,0.018317720461123,0.0020215054836827,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,LSTM,Tube,LSTM-Tube,,,0.5,0.01,99.54337899543378,0.4084142424657139,0.03540752,0.003616794,0.0355833141574576,0.0036722817679472,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,LSTM,Quantile,LSTM-Quantile,0.1,0.9,,,94.88584474885845,2.262924510203445,0.017666753,0.0026260468,0.019294172951511,0.0035310377807895,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,LSTM,Tube,LSTM-Tube,,,0.5,0.01,94.7945205479452,2.0944922266994905,0.03833949,0.0031415327,0.0429532720139581,0.007745259998514,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Arabian_Sea,15.0,65.0,Mamba,Quantile,Mamba-Quantile,0.1,0.9,,,77.53424657534246,6.189867836650429,0.054496907,0.0042024064,0.119119147564219,0.0117393181401451,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,Transformer,Tube,Transformer-Tube,,,0.5,0.01,53.69863013698631,7.484128309971828,0.097478665,0.013206533,0.8255787791937454,0.043704604889499,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
