location,lat,lon,arch,loss,model,q_lo,q_hi,r,delta,avg_picp,std_picp,avg_mpiw,std_mpiw,avg_wis,std_wis,calibrated,n_valid_seeds,n_seeds,n_train_seqs,n_test_pts,train_period,test_period,seq_len
Arabian_Sea,15.0,65.0,GRU,Quantile,GRU-Quantile,0.1,0.9,,,97.80821917808221,0.532507022360303,0.010780218,0.0007691194,0.011161476823782811,0.0008446918950581752,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Arabian_Sea,15.0,65.0,GRU,Tube,GRU-Tube,,,0.5,0.01,99.26940639269407,0.9402401955239279,0.02248008,0.0018551521,0.022745232474069073,0.001824988478755758,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,GRU,Quantile,GRU-Quantile,0.1,0.9,,,94.06392694063928,1.7085193546912925,0.010770032,0.000415709,0.013424883694164284,0.0012624866719565656,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,GRU,Tube,GRU-Tube,,,0.5,0.01,98.63013698630138,1.0004064977263296,0.018841187,0.0021887175,0.019360721136881337,0.0022262969683456034,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,GRU,Quantile,GRU-Quantile,0.1,0.9,,,91.23287671232876,2.605542030627783,0.013102087,0.0005504959,0.017491942159375634,0.001909697917408024,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,GRU,Tube,GRU-Tube,,,0.5,0.01,96.34703196347031,0.9132420091324206,0.023764472,0.0012600911,0.026447978099500197,0.0019080999729330487,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,GRU,Quantile,GRU-Quantile,0.1,0.9,,,97.351598173516,1.396991647559669,0.013002986,0.0019256861,0.013578776885113211,0.0023310302549455356,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,GRU,Tube,GRU-Tube,,,0.5,0.01,99.26940639269405,0.8947907736194236,0.02449421,0.003983919,0.024608671426419253,0.0038761794736467637,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,GRU,Quantile,GRU-Quantile,0.1,0.9,,,97.80821917808218,1.3359578847787938,0.015459579,0.00072055793,0.015936859799139037,0.000763579174078491,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,GRU,Tube,GRU-Tube,,,0.5,0.01,99.90867579908675,0.1826484018264864,0.030621633,0.003906602,0.030634386084585973,0.0039031607979708952,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
