location,lat,lon,arch,loss,model,q_lo,q_hi,r,delta,avg_picp,std_picp,avg_mpiw,std_mpiw,avg_wis,std_wis,calibrated,n_valid_seeds,n_seeds,n_train_seqs,n_test_pts,train_period,test_period,seq_len
Arabian_Sea,15.0,65.0,Mamba,Quantile,Mamba-Quantile,0.1,0.9,,,77.53424657534246,6.189867836650429,0.054496907,0.0042024064,0.11911914756421904,0.011739318140145184,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Arabian_Sea,15.0,65.0,Mamba,Tube,Mamba-Tube,,,0.5,0.01,91.78082191780821,1.7566560786914456,0.088939,0.009032883,0.10786785950984586,0.002281298832797543,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,Mamba,Quantile,Mamba-Quantile,0.1,0.9,,,78.44748858447488,7.438298701113147,0.066760115,0.02586871,0.18934388496056073,0.06544466117281235,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,Mamba,Tube,Mamba-Tube,,,0.5,0.01,97.35159817351598,1.8355937207526773,0.15164006,0.028148385,0.1624939778474334,0.01843762818741321,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,Mamba,Quantile,Mamba-Quantile,0.1,0.9,,,76.07305936073058,9.382867243135214,0.09982033,0.022283299,0.2877114167727292,0.04471177360155559,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,Mamba,Tube,Mamba-Tube,,,0.5,0.01,92.51141552511415,2.8236757687196885,0.16422626,0.005202066,0.21410583204983577,0.02177322852705922,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,Mamba,Quantile,Mamba-Quantile,0.1,0.9,,,68.85844748858447,8.520112357764821,0.07213196,0.027181456,0.19328078777598184,0.02333426702879129,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,Mamba,Tube,Mamba-Tube,,,0.5,0.01,93.33333333333333,3.0095446672665016,0.16085401,0.016317444,0.18514074576004455,0.021307742695436314,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,Mamba,Quantile,Mamba-Quantile,0.1,0.9,,,67.67123287671232,1.9025266352511088,0.072667584,0.010096983,0.5085269440724425,0.07070007551295415,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,Mamba,Tube,Mamba-Tube,,,0.5,0.01,79.81735159817353,6.619587314856668,0.1350686,0.03189578,0.35253556627721017,0.07158108030127254,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
