location,lat,lon,arch,loss,model,q_lo,q_hi,r,delta,avg_picp,std_picp,avg_mpiw,std_mpiw,avg_wis,std_wis,calibrated,n_valid_seeds,n_seeds,n_train_seqs,n_test_pts,train_period,test_period,seq_len
Arabian_Sea,15.0,65.0,Transformer,Quantile,Transformer-Quantile,0.1,0.9,,,80.18264840182648,6.34423906226791,0.068281375,0.006814773,0.1361467929490897,0.024121210625203168,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Arabian_Sea,15.0,65.0,Transformer,Tube,Transformer-Tube,,,0.5,0.01,92.78538812785388,2.423104869666043,0.08843899,0.003296133,0.10442175182773643,0.0052382717556375595,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,Transformer,Quantile,Transformer-Quantile,0.1,0.9,,,77.80821917808218,6.77647724532937,0.0944456,0.0072181304,0.2405246141940236,0.06640485215112868,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,Transformer,Tube,Transformer-Tube,,,0.5,0.01,95.70776255707763,3.815996788269622,0.15113907,0.037877027,0.1643378038557425,0.03197464454577519,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,Transformer,Quantile,Transformer-Quantile,0.1,0.9,,,55.06849315068494,14.269972591506564,0.07581908,0.015171165,0.48907443998604433,0.09512727043586869,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,Transformer,Tube,Transformer-Tube,,,0.5,0.01,86.48401826484019,2.7790180921831853,0.1407667,0.016176637,0.2572158219042978,0.02551692424141233,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,Transformer,Quantile,Transformer-Quantile,0.1,0.9,,,71.32420091324201,13.003360469474533,0.07907571,0.019670336,0.2236612872793522,0.05372691440531859,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,Transformer,Tube,Transformer-Tube,,,0.5,0.01,91.41552511415524,7.336693248728744,0.13438755,0.034487586,0.15331956755717252,0.03482987636779946,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,Transformer,Quantile,Transformer-Quantile,0.1,0.9,,,44.74885844748857,9.477498676982362,0.0788214,0.015859796,0.8871612850061291,0.11427288501917654,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,Transformer,Tube,Transformer-Tube,,,0.5,0.01,53.69863013698631,7.484128309971828,0.097478665,0.013206533,0.8255787791937454,0.04370460488949908,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
