arch,loss,model,Avg_PICP,Std_PICP,Avg_MPIW,Std_MPIW,Avg_WIS,Std_WIS,r,delta,Locations,Seeds
SimpleRNN,Tube,SimpleRNN-Tube,99.17808219178082,0.5754150948590242,0.0252883484,0.00321338066,0.02550445723852336,0.0032842818203476,0.5,0.01,5,5
GRU,Tube,GRU-Tube,98.68493150684932,0.7862655755657176,0.0240403164,0.00263889634,0.0247593978442911,0.0027477451383303595,0.5,0.01,5,5
SimpleRNN,Quantile,SimpleRNN-Quantile,97.53424657534246,1.720915801153415,0.0134536136,0.00155192938,0.014246836295734741,0.00175170989044004,,,5,5
DeepAR,NLL-Gaussian,DeepAR-NLL-Gaussian,96.69406392694063,2.829682946574565,0.01750001330494766,0.0016802616480207603,0.01980863892717206,0.00301043037920532,,,5,5
LSTM,Tube,LSTM-Tube,96.62100456621005,1.1484635119599402,0.029436021,0.00270398294,0.032372835649028694,0.00417304657735774,0.5,0.01,5,5
GRU,Quantile,GRU-Quantile,95.65296803652969,1.5159035880035683,0.0126229804,0.000876313666,0.014318787872314961,0.0014222971826893,,,5,5
LSTM,Quantile,LSTM-Quantile,92.16438356164383,2.1973107892468993,0.0138532587,0.001269183078,0.01801656183726024,0.00274320762506194,,,5,5
Mamba,Tube,Mamba-Tube,90.95890410958904,3.209011510057396,0.140145586,0.0181193116,0.20442879628887392,0.02707619570879574,0.5,0.01,5,5
Transformer,Tube,Transformer-Tube,84.01826484018265,4.767788261763885,0.122442195,0.0210087832,0.30097474486773895,0.02825286436002466,0.5,0.01,5,5
Mamba,Quantile,Mamba-Quantile,73.71689497716895,6.686734554782944,0.07317537919999999,0.01792657088,0.2595964362291866,0.04318601909125164,,,5,5
Transformer,Quantile,Transformer-Quantile,65.82648401826484,9.974309609112147,0.079288633,0.012946840079999999,0.39531368388292776,0.07073062652733905,,,5,5
