location,lat,lon,arch,loss,model,q_lo,q_hi,r,delta,avg_picp,std_picp,avg_mpiw,std_mpiw,avg_wis,std_wis,avg_cwc,std_cwc,n_seeds,n_valid_seeds,n_train_seqs,n_test_pts,seq_len
Arabian_Sea,15.0,65.0,GRU,Quantile,GRU-Quantile,0.02,0.97,,,86.84931506849315,20.37041523000179,1.5486042141914367,0.9117984284730438,2.6513984560966493,1.66163598739533,5023437601.141574,10046875198.716782,5,5,846,219,30
Arabian_Sea,15.0,65.0,GRU,Tube,GRU-Tube,,,0.5,0.015,89.31506849315068,6.211388519865553,1.4863945841789246,0.5149069727497735,1.8126644849777223,0.5306346619098932,344.13992325659524,422.14357519618306,5,5,846,219,30
Bay_of_Bengal,12.0,87.0,GRU,Quantile,GRU-Quantile,0.02,0.97,,,96.80365296803653,0.8168284849314359,0.8973080039024353,0.018791560537464416,0.9123735070228577,0.015062801505630321,0.8973080039024353,0.018791560537464416,5,5,846,219,30
Bay_of_Bengal,12.0,87.0,GRU,Tube,GRU-Tube,,,0.5,0.015,95.79908675799086,1.1333035293142342,0.839919102191925,0.025603707601657782,0.8614299654960632,0.019921000241709154,0.885960984054633,0.07762791069856098,5,5,846,219,30
Andaman_Sea,11.0,95.0,GRU,Quantile,GRU-Quantile,0.02,0.97,,,96.80365296803653,0.5775849607613509,0.8662314295768738,0.02282160077242492,0.8839645504951477,0.019319684761024032,0.8662314295768738,0.02282160077242492,5,5,846,219,30
Andaman_Sea,11.0,95.0,GRU,Tube,GRU-Tube,,,0.5,0.015,95.70776255707763,0.5479452054794526,0.8241158962249756,0.02272150355829783,0.8446273684501648,0.018280178162989377,0.8259359206674034,0.020369190852659397,5,5,846,219,30
Lakshadweep,10.0,73.0,GRU,Quantile,GRU-Quantile,0.02,0.97,,,94.337899543379,2.6246772352876544,0.8562034487724304,0.2788919613142861,0.9161516070365906,0.29703933813054,4.3948452134568265,6.364312187512052,5,5,846,219,30
Lakshadweep,10.0,73.0,GRU,Tube,GRU-Tube,,,0.5,0.015,96.62100456621005,0.22369769340485937,0.6007145285606384,0.011104777442929141,0.6544060707092285,0.009070593191892977,0.6007145285606384,0.011104777442929141,5,5,846,219,30
South_IO,-5.0,75.0,GRU,Quantile,GRU-Quantile,0.02,0.97,,,95.34246575342465,0.6057762174165108,0.8670628428459167,0.016726131802752175,0.9193372607231141,0.015001985353226164,0.9153418776970901,0.08658630306253716,5,5,846,219,30
South_IO,-5.0,75.0,GRU,Tube,GRU-Tube,,,0.5,0.015,94.61187214611871,1.0571540550493304,0.8419475674629211,0.03845262711581571,0.8977461934089661,0.03228814101524991,1.2693463548717774,0.3441850385892576,5,5,846,219,30
