location,lat,lon,arch,loss,model,q_lo,q_hi,r,delta,avg_picp,std_picp,avg_mpiw,std_mpiw,avg_wis,std_wis,avg_cwc,std_cwc,n_seeds,n_valid_seeds,n_train_seqs,n_test_pts,seq_len
Arabian_Sea,15.0,65.0,Mamba,Quantile,Mamba-Quantile,0.02,0.97,,,92.51141552511415,2.2107248286593966,2.541675090789795,0.09111778914980666,3.5909921646118166,0.1357476033737175,16.210808315575505,17.878103016830966,5,5,846,219,30
Arabian_Sea,15.0,65.0,Mamba,Tube,Mamba-Tube,,,0.5,0.015,91.78082191780821,2.858899697260003,2.491826128959656,0.34233900372844367,3.541428804397583,0.21198672851217026,30.44168379513058,43.59137881590422,5,5,846,219,30
Bay_of_Bengal,12.0,87.0,Mamba,Quantile,Mamba-Quantile,0.02,0.97,,,93.97260273972603,3.5061833462013614,1.882667064666748,0.14676833149221388,1.9698289394378663,0.1159179892644718,18.415913283347077,32.43554993015603,5,5,846,219,30
Bay_of_Bengal,12.0,87.0,Mamba,Tube,Mamba-Tube,,,0.5,0.015,94.61187214611873,1.6690106742006414,1.8220065832138062,0.04515776726184848,1.8789755344390868,0.03303162765367209,3.382165414075503,1.8816978514610967,5,5,846,219,30
Andaman_Sea,11.0,95.0,Mamba,Quantile,Mamba-Quantile,0.02,0.97,,,92.05479452054796,1.2115524348330244,1.6688137769699096,0.0454059389424679,1.7275282144546509,0.035676664929127175,8.81970477423502,6.049685592938575,5,5,846,219,30
Andaman_Sea,11.0,95.0,Mamba,Tube,Mamba-Tube,,,0.5,0.015,92.69406392694064,3.4413595765144813,1.7841389179229736,0.3748866064413223,1.8490185022354126,0.3436522218133977,16.269899837270795,22.011870370637748,5,5,846,219,30
Lakshadweep,10.0,73.0,Mamba,Quantile,Mamba-Quantile,0.02,0.97,,,90.68493150684931,1.9714185520477554,1.4409843683242798,0.07953473074892323,1.5601795673370362,0.08094396521665947,16.914645252271786,8.989756175394213,5,5,846,219,30
Lakshadweep,10.0,73.0,Mamba,Tube,Mamba-Tube,,,0.5,0.015,90.68493150684931,1.3107488670691627,1.4748519897460937,0.13819290049829952,1.5845421075820922,0.1355453059885359,14.738526977742183,6.1704611283723,5,5,846,219,30
South_IO,-5.0,75.0,Mamba,Quantile,Mamba-Quantile,0.02,0.97,,,97.53424657534246,0.6834077418765172,1.6326080083847045,0.09291068484699332,1.6623630046844482,0.0867755014042106,1.6326080083847045,0.09291068484699332,5,5,846,219,30
South_IO,-5.0,75.0,Mamba,Tube,Mamba-Tube,,,0.5,0.015,96.80365296803653,0.500203248863172,1.5281669616699218,0.03618396148161152,1.5796031475067138,0.035684042803822015,1.5281669616699218,0.03618396148161152,5,5,846,219,30
