location,lat,lon,arch,loss,model,q_lo,q_hi,r,delta,avg_picp,std_picp,avg_mpiw,std_mpiw,avg_wis,std_wis,avg_cwc,std_cwc,n_seeds,n_valid_seeds,n_train_seqs,n_test_pts,seq_len
Arabian_Sea,15.0,65.0,SimpleRNN,Quantile,SimpleRNN-Quantile,0.02,0.97,,,96.0730593607306,0.5479452054794526,0.9146726250648498,0.08604997345636106,1.0140838742256164,0.08726335802136174,0.9146726250648498,0.08604997345636106,5,5,846,219,30
Arabian_Sea,15.0,65.0,SimpleRNN,Tube,SimpleRNN-Tube,,,0.5,0.015,96.25570776255708,0.5325070223603083,0.8110345363616943,0.019771575576214454,0.885399067401886,0.019636399488888998,0.8110345363616943,0.019771575576214454,5,5,846,219,30
Bay_of_Bengal,12.0,87.0,SimpleRNN,Quantile,SimpleRNN-Quantile,0.02,0.97,,,96.98630136986301,0.894790773619427,0.9157799005508422,0.055615503907971646,0.9409418106079102,0.05355480408761835,0.9157799005508422,0.055615503907971646,5,5,846,219,30
Bay_of_Bengal,12.0,87.0,SimpleRNN,Tube,SimpleRNN-Tube,,,0.5,0.015,96.07305936073058,2.426544338919893,0.898149061203003,0.07237285302172522,0.9187972784042359,0.06223689024809503,1.518888041124071,1.1809247807430174,5,5,846,219,30
Andaman_Sea,11.0,95.0,SimpleRNN,Quantile,SimpleRNN-Quantile,0.02,0.97,,,95.52511415525115,0.8370001269325709,0.793593680858612,0.0352438014535336,0.8192185759544373,0.03336363792647941,0.8757875726385107,0.07594108256918974,5,5,846,219,30
Andaman_Sea,11.0,95.0,SimpleRNN,Tube,SimpleRNN-Tube,,,0.5,0.015,94.52054794520548,1.6336569698628567,0.825859785079956,0.0374748159340406,0.858824861049652,0.03235720108766082,1.6349776873628339,1.5769513745854982,5,5,846,219,30
Lakshadweep,10.0,73.0,SimpleRNN,Quantile,SimpleRNN-Quantile,0.02,0.97,,,95.25114155251141,1.6234145054457694,0.6870652437210083,0.09412177018529351,0.7441819906234741,0.09138583860697769,1.0749936774582791,0.75716551132709,5,5,846,219,30
Lakshadweep,10.0,73.0,SimpleRNN,Tube,SimpleRNN-Tube,,,0.5,0.015,95.25114155251141,0.5479452054794488,0.6265658855438232,0.046941376779510775,0.6860590219497681,0.04476590445445723,0.6621707616969517,0.06982890431419807,5,5,846,219,30
South_IO,-5.0,75.0,SimpleRNN,Quantile,SimpleRNN-Quantile,0.02,0.97,,,93.78995433789956,0.7419213154918639,0.8953461289405823,0.047542194694703464,0.9495509505271912,0.0445843889408467,1.7250942292761533,0.5565957290013528,5,5,846,219,30
South_IO,-5.0,75.0,SimpleRNN,Tube,SimpleRNN-Tube,,,0.5,0.015,91.23287671232876,1.7895815472388523,0.7869438648223877,0.03786258278490447,0.8677499890327454,0.024099280835514044,7.416821644667257,6.244509170481622,5,5,846,219,30
